Profile,Customer,SearchString,Strict
FinTech,Zilliqa Research Pte Ltd,Zilliqa,None
FinTech,Planar Investments Pvt Ltd,WeInvest,None
FinTech,Cash Shield,"""Cash Shield""",None
FinTech,DT One & Thunes,"""DT one"" or ""Thunes""",None
FinTech,Crayon Data Pte Ltd,"""Crayon Data""",None
FinTech,Cyberdyne Tech Exchange Pte. Ltd.,"""Cyberdyne Tech Exchange"" or ""CTX""",None
FinTech,Broctagon Singapore,Broctagon,None
FinTech,M-Daq,"""M-Daq""",None
FinTech,Asia Wealth Management Pte. Ltd.,StashAway,None
FinTech,CompareAsiaGroup Limited,CompareAsiaGroup,None
FinTech,MoneySmart.sg,MoneySmart,NAME_ON_TITLE
FinTech,GT Pay Singapore Pte Ltd,"""GT Pay""",None
FinTech,Cynopsis Solutions,"""Cynopsis Solutions""",None
FinTech,ICHX Tech Pte. Ltd.,"""ICHX Tech"" or ""iSTOX""",None
FinTech,Red Dot Payment Pte Ltd,"""Red Dot Payment""",None
FinTech,Altonomy.io,Altonomy,None
FinTech,Active Intelligence Pte Ltd,"""Active.Ai""",None
FinTech,Belfrics Global Pte Ltd,"""Belfrics Global""",None
FinTech,UTU Global,"""UTU Global""",None
FinTech,Canopy Pte Ltd,"""Canopy pte""",None
FinTech,Liquid Group Pte Ltd,"""Liquid Group""",None
FinTech,ConneXionsAsia Pte Ltd,ConneXionsAsia,None
FinTech,CCRManager Pte Ltd,CCRManager,None
FinTech,Xfers Pte Ltd,Xfers,None
FinTech,Mangosteen BCC Pte Ltd,SPECIAL_HARD_TO_SEARCH,None
FinTech,Hoolah Holdings Pte Ltd,Hoolah,None
FinTech,Jewel Paymentech,"""Jewel Paymentech""",None
FinTech,SingX Pte Ltd,SingX,None
FinTech,eBaoTech Singapore,eBaoTech,None
FinTech,soCash Pte Ltd,soCash,None
FinTech,Smartblock Pte Ltd,Smartblock,None
FinTech,Hydra X,"""Hydra X""",None
FinTech,Blue Fire AI,"""Blue Fire AI""",None
FinTech,Finaxar Pte Ltd,Finaxar,None
FinTech,Lumiq Pte Ltd,SPECIAL_HARD_TO_SEARCH,None
